threshold,年化收益率,夏普比率,最大回撤,收益回撤比,胜率,累计收益率,年换手(单位),平均持仓绝对值
0.12,0.2589363501302402,1.4400652269139416,0.11214280359140005,2.3089876642793095,0.4563265306122449,2.062876276721184,140,0.8474714518760196
0.13,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.14,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.15,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.16,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.17,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.18,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.19,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.2,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.21,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.22,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.23,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.24,0.22336960659792182,1.3854994073716456,0.11041049063339414,2.0230831809234138,0.36979591836734693,1.6645731269744641,134,0.6908646003262643
0.38,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.39,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.4,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.41,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.42,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.43,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
