date,open,close,9M_minus_1M,factor_ma,factor_prev,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav,ret_cc
2025-08-11,5266.6469,5310.5124,4.289999999999999,3.914,2.5300000000000007,-1,-1,-1,0,0.0,-0.00983678181504688,0.00983678181504688,1.1354899202599498,2.136852889657814,0.00983678181504688
2025-08-12,5311.1577,5328.3963,3.919999999999998,3.9859999999999993,2.5580000000000007,-1,-1,-1,0,0.0,-0.0033676411338388057,0.0033676411338388057,1.1393138428224765,2.1296567359696397,0.0033676411338388057
2025-08-13,5334.3746,5382.3491,2.910000000000002,3.7840000000000003,2.5900000000000007,-1,-1,-1,0,0.0,-0.010125523133480252,0.010125523133480252,1.1508499914942698,2.1080928474232072,0.010125523133480252
2025-08-14,5386.0324,5336.8328,3.380000000000001,3.7120000000000006,2.634000000000001,-1,-1,-1,0,0.0,0.008456586363006502,-0.008456586363006502,1.1411177291503332,2.1259201166486776,-0.008456586363006502
2025-08-15,5324.8659,5412.0181,2.3099999999999987,3.3619999999999997,2.7880000000000007,-1,-1,-1,0,0.0,-0.014087999908859894,0.014087999908859894,1.1571937956146015,2.0959701542390876,0.014087999908859894
2025-08-18,5438.8553,5486.5658,0.75,2.654,2.9160000000000004,1,-1,-1,0,0.0,-0.013774473518482822,0.013774473518482822,1.1731335309080475,2.067099268853991,0.013774473518482822
2025-08-19,5487.2063,5483.4519,1.8800000000000026,2.246000000000001,2.8040000000000003,1,1,-1,2,0.0006,-3.245007651226869e-05,-0.0005675499234877313,1.1724677190623398,2.067032191324558,-0.0005675499234877313
2025-08-20,5461.5549,5536.4422,1.6600000000000001,1.9960000000000004,2.3960000000000004,1,1,1,0,0.0,0.009663675539854921,0.009663675539854921,1.183798066680312,2.087007319751954,0.009663675539854921
2025-08-21,5548.624,5529.2107,1.6000000000000014,1.6400000000000006,2.1760000000000006,1,1,1,0,0.0,-0.0013061637309246255,-0.0013061637309246255,1.1822518325808755,2.08428134648472,-0.0013061637309246255
2025-08-22,5527.5732,5620.4251,0.9399999999999977,1.3660000000000003,2.124000000000001,1,1,1,0,0.0,0.016496821146642304,0.016496821146642304,1.2017552296132523,2.118665363076961,0.016496821146642304
2025-08-25,5664.3378,5722.0751,-1.2699999999999996,0.9620000000000004,1.9580000000000006,1,1,1,0,0.0,0.018085820590332258,0.018085820590332258,1.2234899590895312,2.156983164724522,0.018085820590332258
2025-08-26,5703.8688,5715.7895,-0.5999999999999979,0.46600000000000036,1.8620000000000005,1,1,1,0,0.0,-0.0010984826116665625,-0.0010984826116665625,1.2221459766439227,2.1546137562244145,-0.0010984826116665625
2025-08-27,5721.2056,5615.1579,-0.5799999999999983,0.018000000000000682,2.2600000000000002,1,1,1,0,0.0,-0.01760589678818647,-0.01760589678818647,1.2006290007190323,2.116679848813921,-0.01760589678818647
2025-08-28,5607.0131,5703.5468,-0.5599999999999987,-0.41399999999999937,2.434,1,1,1,0,0.0,0.015741124572828058,0.015741124572828058,1.2195282513851007,2.1499987699948955,0.015741124572828058
2025-08-29,5702.4519,5723.9513,-0.03999999999999915,-0.6099999999999988,2.566,1,1,1,0,0.0,0.00357751075173085,0.00357751075173085,1.2238911268164705,2.1576904137107604,0.00357751075173085
2025-09-01,5749.478,5769.4505,1.4000000000000021,-0.07599999999999837,2.8440000000000003,1,1,1,0,0.0,0.007948914589821943,0.007948914589821943,1.2336197328507756,2.174841710520625,0.007948914589821943
2025-09-02,5768.3274,5684.0008,0.8099999999999987,0.20600000000000093,3.1480000000000006,1,1,1,0,0.0,-0.014810717242482618,-0.014810717242482618,1.215348939802776,2.1426307448989466,-0.014810717242482618
2025-09-03,5699.2157,5615.6393,0.7900000000000027,0.48000000000000115,3.3540000000000005,1,1,1,0,0.0,-0.012027003937086,-0.012027003937086,1.2007319333188347,2.1168613164943255,-0.012027003937086
2025-09-04,5621.1685,5502.1096,0.120000000000001,0.6160000000000011,3.5700000000000003,1,1,1,0,0.0,-0.020216700883904704,-0.020216700883904704,1.1764570949811752,2.074065364446051,-0.020216700883904704
