date,open,close,total_mv,small_amount,small_full_ratio,factor_ma,z,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav
2024-10-11,4636.5795,4514.1935,91893672958087.03,204141930.32,2.221501478269453e-06,1.7347385140547683e-06,2.3476043229886074,1,1,1,0,0.0,-0.033437641510793314,-0.033437641510793314,0.790274511635576,1.611446927702757
2024-10-14,4544.0213,4629.5071,94138353488055.0,210241299.07,2.233322458700927e-06,1.7957229019879796e-06,2.1595868958413127,1,1,1,0,0.0,0.025544673705280907,0.025544673705280907,0.810461816172907,1.6526108136643014
2024-10-15,4605.5145,4524.6742,91809851264870.03,209794227.34,2.2850949484140524e-06,1.858433558620689e-06,2.0223149931574356,1,1,1,0,0.0,-0.022644505718546037,-0.022644505718546037,0.7921093089419164,1.6151882586437492
2024-10-16,4463.2739,4515.4341,91755839301633.0,178756432.79,1.948175006087254e-06,1.9059890712762093e-06,1.8751390441284361,1,1,1,0,0.0,-0.002042158085105883,-0.002042158085105883,0.790491696512373,1.6118897888823918
2024-10-17,4544.0158,4480.8725,90959759449846.0,192538928.64999998,2.1167484370510387e-06,1.9605096706243897e-06,1.7766315881929033,1,1,1,0,0.0,-0.007654103511332333,-0.007654103511332333,0.7844411912424186,1.5995522175894263
2024-10-18,4470.9264,4647.2965,93829401098020.0,261642427.97,2.788490866489408e-06,2.05143006507073e-06,1.7787551172489595,1,1,1,0,0.0,0.03714098091387341,0.03714098091387341,0.8135761065544094,1.658961155973659
2024-10-21,4676.2905,4696.8006,94400724285380.0,266263672.51,2.820568110315195e-06,2.142226108267949e-06,1.7706538862111056,1,1,1,0,0.0,0.010652236197969955,0.010652236197969955,0.8222425114064517,1.6766328020503476
2024-10-22,4691.7586,4728.4374,94883583609477.0,240867051.57999998,2.538553482247925e-06,2.218164744919353e-06,1.727710684782005,1,1,1,0,0.0,0.0067358192723787624,0.0067358192723787624,0.8277809883613524,1.6879262975911007
2024-10-23,4722.3648,4744.7985,95229204501198.0,240035713.86,2.5206103014016076e-06,2.2966918865901198e-06,1.697851832685414,1,1,1,0,0.0,0.0034601494354138396,0.0034601494354138396,0.8306452342808772,1.6937667748167307
2024-10-24,4719.3473,4705.9802,94516266788820.0,194762886.42000002,2.0606282181580816e-06,2.3394992837043505e-06,1.6048136778626683,1,1,1,0,0.0,-0.008181232564459795,-0.008181232564459795,0.8238495324406652,1.679909674922
2024-10-25,4713.2885,4767.4349,95342895094883.0,222972826.17000002,2.3386412374839543e-06,2.401805368249022e-06,1.5716534265053541,1,1,1,0,0.0,0.013058852223815087,0.013058852223815087,0.834608061739467,1.7018473671161636
2024-10-28,4771.4304,4822.486,96105572805303.0,235448427.34000003,2.4498935958374337e-06,2.4720903208387147e-06,1.5683037463612077,1,1,1,0,0.0,0.011547320761527313,0.011547320761527313,0.8442455487385292,1.7214991445514147
2024-10-29,4836.7449,4763.8101,95026792520476.03,261006047.69,2.7466574506738125e-06,2.5254586191940346e-06,1.5390119625044913,1,1,1,0,0.0,-0.012167147815462798,-0.012167147815462798,0.833973488354481,1.700553409995465
