date,open,close,total_mv,big_amount,inst_full_ratio,factor,trend,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav
2024-01-29,4146.5535,4065.9215,81120449123850.0,12605929.82,1.5539768278099642e-07,1.5539768278099642e-07,5.184145446352295e-09,1,-1,1,2,0.0006,-0.019139817336257314,-0.018539817336257314,0.7117980493660918,0.950462286527562
2024-01-30,4040.4275,3971.5299,79453322870647.97,8608169.32,1.0834247088714363e-07,1.0834247088714363e-07,-2.5766584182545706e-08,-1,1,-1,2,0.0006,0.022615303099186735,-0.023215303099186735,0.6952734419046481,0.9719572792217289
2024-01-31,3950.0857,3874.6177,78050760763922.0,9438810.100000001,1.209316860927123e-07,1.209316860927123e-07,6.16664231581281e-09,1,-1,1,2,0.0006,-0.025001729922768567,-0.024401729922768567,0.6783075671528171,0.9476566658301583
2024-02-01,3853.8172,3856.9628,77546608416852.0,8133701.82,1.0488791174821295e-07,1.0488791174821295e-07,-1.3201565350487409e-09,-1,1,-1,2,0.0006,0.003956552766483257,-0.004556552766483257,0.6752168229311805,0.951406119433025
2024-02-02,3860.4278,3765.6602,76207230658367.02,10113207.78,1.3270666959854473e-07,1.3270666959854473e-07,9.825380793426243e-09,1,-1,1,2,0.0006,-0.02427214949545271,-0.02367214949545271,0.6592329893569089,0.928313447871258
2024-02-05,3739.2775,3666.3675,74967071294514.0,10604642.62,1.4145734169524685e-07,1.4145734169524685e-07,3.831290221214832e-08,1,1,-1,2,0.0006,0.025767939412058505,-0.026367939412058505,0.6418503738351157,0.9522341725514037
2024-02-06,3624.3894,3827.7634,77618569960287.97,11668189.45,1.5032729224423744e-07,1.5032729224423744e-07,4.381337189360289e-08,1,1,1,0,0.0,0.044020655321650004,0.044020655321650004,0.6701050479097835,0.9941521448467857
2024-02-07,3832.966,3895.0043,78588558514583.97,11645618.780000001,1.4818465944809105e-07,1.4818465944809105e-07,4.638132988098957e-08,1,1,1,0,0.0,0.017566629118194843,0.017566629118194843,0.6818765347566449,1.0116160468623672
2024-02-08,3907.2009,3985.3963,79919001628036.0,12273314.4,1.5357191844216506e-07,1.5357191844216506e-07,3.491079455407069e-08,1,1,1,0,0.0,0.02320716308323445,0.02320716308323445,0.6977009547013732,1.035092785439519
2024-02-19,4030.8632,4041.5081,81320633075383.02,13518750.129999999,1.662400994525992e-07,1.662400994525992e-07,5.618127803223284e-08,1,1,1,0,0.0,0.014079352660612443,0.014079352660612443,0.7075241324942598,1.0496662218021777
2024-02-20,4027.3247,4057.9366,81709077615076.98,11404700.2,1.3957690544160053e-07,1.3957690544160053e-07,4.714113561209077e-08,1,1,1,0,0.0,0.004064942985020803,0.004064942985020803,0.7104001777533753,1.0539330551471058
2024-02-21,4028.387,4100.0988,82477482675007.02,15868982.670000002,1.9240381926458513e-07,1.9240381926458513e-07,8.688320058408876e-08,1,1,1,0,0.0,0.010390058829405913,0.010390058829405913,0.7177812773926533,1.0648834815923398
2024-02-22,4095.2367,4150.6677,83508933782734.98,13013779.92,1.5583697851846516e-07,1.5583697851846516e-07,5.1762598754922504e-08,1,1,1,0,0.0,0.012333580839564151,0.012333580839564151,0.7266340908025012,1.0780173080972755
2024-02-23,4160.735,4187.6097,84041196014242.0,14467117.67,1.7214316735269137e-07,1.7214316735269137e-07,2.4598720056203453e-08,1,1,1,0,0.0,0.008900254771057714,0.008900254771057714,0.7331013193359793,1.087611936786951
2024-02-26,4189.3435,4182.3255,83547009640934.0,14483184.67,1.7335371705397269e-07,1.7335371705397269e-07,6.261038208859812e-08,1,1,1,0,0.0,-0.0012618654503546711,-0.0012618654503546711,0.7321762441094999,1.0862395168605263
2024-02-27,4166.3945,4262.1937,84877957644998.0,16655156.82,1.9622475943236267e-07,1.9622475943236267e-07,6.753681070896655e-08,1,1,1,0,0.0,0.019096600683041087,0.019096600683041087,0.7461583214728679,1.1069829991601512
2024-02-28,4268.8642,4136.2097,82808832129078.0,22379107.55,2.702502495762365e-07,2.702502495762365e-07,1.5979406528874184e-07,1,1,1,0,0.0,-0.0295584876867514,-0.0295584876867514,0.724103009915245,1.0742622558100328
2024-02-29,4112.4873,4251.4068,84697913183929.97,19178224.79,2.2643090094029319e-07,2.2643090094029319e-07,9.624998186769985e-08,1,1,1,0,0.0,0.027850884833039213,0.027850884833039213,0.7442699194516516,1.1041814101770788
2024-03-01,4255.2625,4286.5038,85181512356152.98,19993493.439999998,2.3471634732669538e-07,2.3471634732669538e-07,6.343836004322388e-08,1,1,1,0,0.0,0.008255385017496009,0.008255385017496009,0.7504141541936656,1.1132968528472522
2024-03-04,4291.0124,4296.9008,85528373639856.0,20141390.25,2.3549366593607438e-07,2.3549366593607438e-07,8.29856470692114e-08,1,1,1,0,0.0,0.0024255198374021347,0.0024255198374021347,0.7522342986109297,1.1159971764487506
2024-03-05,4273.073,4286.6745,85598579427706.98,19574434.66,2.2867709710687146e-07,2.2867709710687146e-07,7.327941432587504e-08,1,1,1,0,0.0,-0.002379924619158147,-0.002379924619158147,0.7504440376842904,1.1133411872936092
2024-03-06,4271.6654,4288.036,85498619150252.98,15774077.17,1.8449511029270612e-07,1.8449511029270612e-07,7.615263940556249e-08,1,1,1,0,0.0,0.000317612172326065,0.000317612172326065,0.7506823878453084,1.1136947980066456
2024-03-07,4290.009,4249.4601,85019439611198.0,16996157.07,1.999090695930842e-07,1.999090695930842e-07,7.89773835003719e-08,1,1,1,0,0.0,-0.008996169808275778,-0.008996169808275778,0.7439291216121701,1.1036758104891844
2024-03-08,4250.6164,4285.6193,85787380223227.02,15342203.14,1.788398608289251e-07,1.788398608289251e-07,7.395194908071215e-08,1,1,1,0,0.0,0.008509128018403977,0.008509128018403977,0.7502593097445869,1.1130671292514527
2024-03-11,4282.4253,4352.1567,86641007210220.0,18957794.89,2.1880856998813578e-07,2.1880856998813578e-07,8.610190038959105e-08,1,1,1,0,0.0,0.015525737435427178,0.015525737435427178,0.7619076387961662,1.1303483172482154
2024-03-12,4357.795,4368.3877,86429264821036.0,21235143.36,2.456939024527209e-07,2.456939024527209e-07,1.0423656075747404e-07,1,1,1,0,0.0,0.0037294153494060733,0.0037294153494060733,0.7647491088391224,1.1345638556127362
2024-03-13,4367.8139,4358.3464,86166478393324.98,19317827.75,2.2419191442198343e-07,2.2419191442198343e-07,7.386462217774598e-08,1,1,1,0,0.0,-0.0022986283932627805,-0.0022986283932627805,0.7629912348238224,1.1319559149202552
2024-03-14,4356.811,4339.6052,85979004464469.97,17964113.299999997,2.0893604679295283e-07,2.0893604679295283e-07,6.075138734486178e-08,1,1,1,0,0.0,-0.0043000712380274475,-0.0043000712380274475,0.7597103181600894,1.1270884238477916
2024-03-15,4328.9965,4372.0249,86459564444175.02,17821279.689999998,2.061227095529355e-07,2.061227095529355e-07,5.255079111077046e-08,1,1,1,0,0.0,0.007470656547282406,0.007470656547282406,0.7653858530224901,1.1355085143607764
2024-03-18,4383.7057,4430.6624,87459414840056.98,21434362.29,2.4507781499794487e-07,2.4507781499794487e-07,7.883771554534568e-08,1,1,1,0,0.0,0.013411977594180557,0.013411977594180557,0.7756511909341305,1.1507379291133844
2024-03-19,4419.2962,4401.2993,86936297715003.02,19529873.96,2.24645797823406e-07,2.24645797823406e-07,8.506889238180549e-08,1,1,1,0,0.0,-0.00662724833198769,-0.00662724833198769,0.770510757872808,1.1431117030921127
2024-03-20,4392.7287,4424.512,87455714340750.0,17508125.56,2.0019418618872438e-07,2.0019418618872438e-07,7.790366924139253e-09,1,1,1,0,0.0,0.005274056231531432,0.005274056231531432,0.7745744749368291,1.1491405384931421
2024-03-21,4434.0088,4420.6567,87358577096048.0,18814753.72,2.1537385732958734e-07,2.1537385732958734e-07,5.9536878811122185e-08,1,1,1,0,0.0,-0.0008713503319688343,-0.0008713503319688343,0.7738995492109583,1.1481392345034473
2024-03-22,4409.6593,4370.8471,86519063990303.02,19142412.76,2.212508073613171e-07,2.212508073613171e-07,4.910764000862574e-08,1,1,1,0,0.0,-0.011267466211524524,-0.011267466211524524,0.7651796621891097,1.1352026144725542
2024-03-25,4359.0279,4309.0524,85652456572354.0,17862670.8,2.0854826019976087e-07,2.0854826019976087e-07,3.519454314578819e-08,1,1,1,0,0.0,-0.01413792305843875,-0.01413792305843875,0.754361610999198,1.1191532072534027
2024-03-26,4305.1463,4313.9966,85844043306228.98,15859640.0,1.8474945248588026e-07,1.8474945248588026e-07,-1.147530694648241e-08,-1,1,1,0,0.0,0.0011473984396199732,0.0011473984396199732,0.7552271643345676,1.1204373218971009
2024-03-27,4306.9375,4221.5908,84449303766594.0,13937854.600000001,1.6504404392157301e-07,1.6504404392157301e-07,-1.0520620565466348e-07,-1,-1,1,2,0.0006,-0.02201999833750463,-0.02141999833750463,0.7390501997300828,1.0957652939316485
2024-03-28,4216.5576,4275.62,85190882361326.0,15327065.81,1.7991439207064734e-07,1.7991439207064734e-07,-4.651650886964585e-08,-1,-1,-1,0,0.0,-0.012798303426281743,0.012798303426281743,0.7485087884334826,1.0817413572159225
