date,close,net_top20,factor_ma,z,signal_raw,pos,ret,strat_ret,index_nav,strat_nav
2017-09-20,5046.2482,-5374,-5894.8,-1.9389978574434468,-1,-1,0.005521407944479639,-0.005521407944479639,0.9787099360083961,0.9499106292267376
2017-09-21,5014.2392,-4992,-5587.6,-1.7518765889739165,-1,-1,-0.006343128346322668,0.006343128346322668,0.9725018532704736,0.9559360342654589
2017-09-22,5001.3224,-4694,-5338.8,-1.6004928013334159,-1,-1,-0.002576023896107671,0.002576023896107671,0.9699966652574398,0.9583985483328772
2017-09-25,4953.9933,-4692,-5043.6,-1.4334442703890213,-1,-1,-0.00946331714188231,0.00946331714188231,0.9608172791875403,0.9674681777440708
2017-09-26,4962.0413,-4918,-4934.0,-1.3572585739346499,-1,-1,0.0016245480186660721,-0.0016245480186660721,0.9623781729947446,0.9658964792327942
2017-09-27,4983.2351,-4998,-4858.8,-1.2994948821576848,-1,-1,0.004271185731565819,-0.004271185731565819,0.9664886689156101,0.9617709559725255
2017-09-28,4973.8154,-4940,-4848.4,-1.2738605543066803,-1,-1,-0.0018902780645447814,0.0018902780645447814,0.9646617365851279,0.9635889705137165
2017-09-29,5002.5525,-5952,-5100.0,-1.3696474157463352,-1,-1,0.005777677233457235,-0.005777677233457235,0.9702352407385831,0.9580216644563689
2017-10-09,5060.3245,-5794,-5320.4,-1.449605636222563,-1,-1,0.011548504488458677,-0.011548504488458677,0.9814400067711134,0.9469579469643539
2017-10-10,5082.4602,-5994,-5535.6,-1.5258624936074126,-1,-1,0.004374363738926412,-0.004374363738926412,0.9857331823486647,0.9428156084588648
2017-10-11,5080.5713,-5544,-5644.8,-1.551944864711803,-1,-1,-0.0003716507214361897,0.0003716507214361897,0.9853668339003012,0.9431660065599299
2017-10-12,5081.2726,-5692,-5795.2,-1.596535993556565,-1,-1,0.00013803565752557034,-0.00013803565752557034,0.9855028496591225,0.9430358160200586
2017-10-13,5100.5458,-6172,-5839.2,-1.5919466325664866,-1,-1,0.003792986819876498,-0.003792986819876498,0.9892408489788302,0.9394588935992231
2017-10-16,5049.9771,-5448,-5770.0,-1.5373280390578,-1,-1,-0.009914370340523115,0.009914370340523115,0.9794331488460806,0.9487730369900639
2017-10-17,5047.1537,-4910,-5553.2,-1.4158299110170673,-1,-1,-0.0005590916441977622,0.0005590916441977622,0.9788855559565104,0.9493034880672852
2017-10-18,5044.0904,-6450,-5734.4,-1.483499686571775,-1,-1,-0.0006069361430384168,0.0006069361430384168,0.9782914349327021,0.9498796546649058
2017-10-19,5010.8181,-5786,-5753.2,-1.4724772344042907,-1,-1,-0.006596293357470251,0.006596293357470251,0.9718383376387855,0.9561453395213682
2017-10-20,5036.9319,-5706,-5660.0,-1.4077149184244255,-1,-1,0.00521148432827756,-0.00521148432827756,0.9769030579050093,0.9511624030688969
2017-10-23,5054.8998,-6232,-5816.8,-1.4613467996126799,-1,-1,0.0035672310757268733,-0.0035672310757268733,0.9803878968511407,0.9477693869866065
2017-10-24,5061.8769,-6146,-6064.0,-1.5556030801550425,-1,-1,0.0013802647482745733,-0.0013802647482745733,0.9817410917047994,0.946461214312255
2017-10-25,5089.6971,-6088,-5991.6,-1.493597761292549,-1,-1,0.00549602460699905,-0.00549602460699905,0.9871367649025111,0.9412594401888247
2017-10-26,5109.7816,-6080,-6050.4,-1.494278018825715,-1,-1,0.003946109091639283,-0.003946109091639283,0.9910321142651843,0.9375451277543042
2017-10-27,5109.6773,-5742,-6057.6,-1.4699911649702324,-1,-1,-2.0411831300193306e-05,2.0411831300193306e-05,0.9910118854848549,0.9375642647672884
2017-10-30,5045.2554,-6500,-6111.2,-1.4676944492500332,-1,-1,-0.012607821632884764,0.012607821632884764,0.978517384396593,0.9493849077868411
2017-10-31,5062.0889,-7970,-6476.0,-1.6095241239962672,-1,-1,0.0033365010619679225,-0.0033365010619679225,0.9817822086887863,0.946217284033794
2017-11-01,5055.3742,-7206,-6699.6,-1.6810538292033503,-1,-1,-0.0013264682095961433,0.0013264682095961433,0.9804799058002135,0.9474724111804352
2017-11-02,5026.973,-7496,-6982.8,-1.7780224026828435,-1,-1,-0.005618021312843724,0.005618021312843724,0.9749715487926128,0.9527953313797782
2017-11-03,5003.1744,-7230,-7280.4,-1.8786327799214637,-1,-1,-0.004734180987246206,0.004734180987246206,0.9703558570232128,0.9573060369223332
2017-11-06,5047.0124,-6856,-7351.6,-1.8740280706834933,-1,-1,0.008762037157849178,-0.008762037157849178,0.9788581510987868,0.9489180858553864
2017-11-07,5081.4051,-6750,-7107.6,-1.7290015247972093,-1,-1,0.006814467109294231,-0.006814467109294231,0.985528547774114,0.9424517147699104
2017-11-08,5083.4714,-5922,-6850.8,-1.583911520829423,-1,-1,0.00040663949426122947,-0.00040663949426122947,0.9859293026043608,0.9420684766812507
2017-11-09,5116.788,-6318,-6615.2,-1.4520486603833966,-1,-1,0.00655390723748317,-0.00655390723748317,0.9923909917963463,0.9358942472737247
2017-11-10,5145.6874,-5810,-6331.2,-1.301153715200008,-1,-1,0.0056479572731955585,-0.0056479572731955585,0.9979959737163162,0.9306083565528932
2017-11-13,5159.4242,-5718,-6103.6,-1.1777438568854652,-1,-1,0.002669575303000382,-0.002669575303000382,1.000660199120243,0.9281240274674738
2017-11-14,5122.515,-5350,-5823.6,-1.0309847099476328,-1,-1,-0.007153744016628827,0.007153744016628827,0.993501732208108,0.9347635891756588
2017-11-15,5082.2569,-4916,-5622.4,-0.9214242289025562,0,-1,-0.00785904970507656,0.00785904970507656,0.9856937527126048,0.9421099426854861
2017-11-16,5100.8378,-5380,-5434.8,-0.818500284065065,0,0,0.0036560332083961367,-0.003956033208396137,0.9892974818058308,0.9383829244662621
2017-11-17,5026.9865,-4736,-5220.0,-0.7019174131348199,0,0,-0.014478268648338566,-0.0,0.9749741670911212,0.9383829244662621
2017-11-20,5055.0792,-5358,-5148.0,-0.6543526403059388,0,0,0.005588377848239734,0.0,0.9804226911290992,0.9383829244662621
2017-11-21,5102.285,-3574,-4792.8,-0.46475057031875205,0,0,0.00933829088177296,0.0,0.9895781634059534,0.9383829244662621
2017-11-22,5105.4364,-3458,-4501.2,-0.3022886842235091,0,0,0.0006176448395178724,0.0,0.9901893712518807,0.9383829244662621
2017-11-23,4970.1983,-3042,-4033.6,-0.04116557024574693,0,0,-0.026489038233832418,-0.0,0.9639602071380551,0.9383829244662621
2017-11-24,4973.5076,-3246,-3735.6,0.14077026662904382,0,0,0.0006658285646268247,0.0,0.9646020393791311,0.9383829244662621
