date,open,close,intercept_future,beta_tau,n_contracts,z,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav,ret_cc
2022-03-17,5120.1915,5135.6334,-0.0013676195187772733,-0.05828721936957104,4,-0.37385454642493265,0,0,-1,1,0.0003,-0.01907577497255012,0.01877577497255012,0.8618653157417918,0.9570691930497986,0.01877577497255012
2022-03-18,5114.1889,5179.1397,-0.0036979279205436844,-0.04945555998520489,3,-0.8973106585576462,0,0,0,0,0.0,0.0,0.008471457483705924,0.8691665711207792,0.9570691930497986,0.008471457483705924
2022-03-21,5191.7777,5200.595,-0.005898365036575452,-0.0575362393458793,4,-1.321358427127495,-1,0,0,0,0.0,0.0,0.004142637820717665,0.8727672134308077,0.9570691930497986,0.004142637820717665
2022-03-22,5191.4254,5191.6661,-0.005554473600048036,-0.058227827757637816,4,-1.1132815733832047,-1,-1,0,1,0.0003,-0.0003,-0.00171689970089961,0.8712687596631133,0.9567820722918837,-0.00171689970089961
2022-03-23,5204.6198,5216.8666,-0.003911539141337539,-0.057104623295816656,4,-0.627967038972775,0,-1,-1,0,0.0,-0.004854029422269646,0.004854029422269646,0.8754979238572225,0.9521378239622788,0.004854029422269646
2022-03-24,5187.785,5174.9143,-0.0031981652108283107,-0.05702828199936301,4,-0.37058775015611356,0,0,-1,1,0.0003,0.007741666236970668,-0.008041666236970668,0.8684574617624019,0.9595089572069903,-0.008041666236970668
2022-03-25,5174.8643,5103.0681,-0.005009593985540213,-0.055907089197017625,4,-0.7744954702303651,0,0,0,0,0.0,-0.0,-0.013883553588510678,0.8564001860526816,0.9595089572069903,-0.013883553588510678
2022-03-28,5059.5652,5078.4427,-0.0010665557718745212,-0.062449023431365915,4,0.36831626905083953,0,0,0,0,0.0,-0.0,-0.004825606775657354,0.8522675355121916,0.9595089572069903,-0.004825606775657354
2022-03-29,5087.0308,5053.1124,-0.001809069740609676,-0.05839790371288776,4,0.19471264636301508,0,0,0,0,0.0,-0.0,-0.0049878085658029425,0.8480165881982081,0.9595089572069903,-0.0049878085658029425
2022-03-30,5078.3065,5174.746,0.0033029430261499494,-0.05500943446587774,4,1.634492021807752,1,0,0,0,0.0,0.0,0.024071026007654206,0.8684292175476493,0.9595089572069903,0.024071026007654206
2022-03-31,5156.3426,5134.6166,0.002166945888726589,-0.05468634072448949,4,1.2968492554340676,1,1,0,1,0.0003,-0.0003,-0.0077548540546723554,0.861694675708754,0.9592211045198282,-0.0077548540546723554
2022-04-01,5104.1627,5170.979,0.001186041125730163,-0.05540411654016386,4,1.077125698798503,1,1,1,0,0.0,0.007081814054042512,0.007081814054042512,0.8677970371734819,0.9660141300187509,0.007081814054042512
2022-04-06,5158.3998,5167.5543,-0.002918608636388034,-0.058313406131471825,4,-0.09691018444652426,0,1,1,0,0.0,-0.0006622923821583138,-0.0006622923821583138,0.8672223018065023,0.9653743462193822,-0.0006622923821583138
